867206.080	260069.380

893161.520	269381.180

873157.800	296152.130

885997.220	271987.970

885214.550	324512.520

871993.430	241463.480

866691.430	290970.220

876841.220	269585.420

873735.870	309108.280

867520.030	287236.340

868629.250	306343.690

850070.350	232842.800

891360.060	300752.770

875230.820	258586.190

861997.800	308337.050

858715.880	298316.520

886151.210	282469.060

878233.690	292939.840

880508.270	333681.020

873343.570	287932.440

883671.230	339812.820

856512.190	289135.540

886165.060	263024.110

866958.260	323640.740

880012.470	276035.250

887702.310	286940.580

862558.020	315842.250

854861.130	300113.890

862478.490	287298.730

870497.560	244806.680

886432.910	318592.400

872603.180	326291.990

879079.840	299085.480

888363.590	315054.900

890583.680	310432.790

880278.410	268304.990

844024.120	303575.740

849307.800	297394.890

873133.860	277492.030

885928.010	314893.430

858860.660	304196.310

847829.200	255022.470

830943.060	288421.560

856471.090	303661.950

885324.900	248824.500

890017.530	307875.120

869108.360	276015.180

879398.290	308580.980

860267.230	260035.380

854072.290	279080.950

866057.740	319643.340

881187.280	278163.930

867402.200	234264.140

877940.510	279117.510

860941.360	301975.520

856730.010	276361.960

884148.830	332586.600

831979.630	226004.120

881986.840	285629.960

828442.630	286915.610

885130.950	266360.780

884743.850	312422.810

878187.250	283328.680

859307.200	318201.180

853728.030	302378.810

875118.310	281685.690

890719.930	274126.450

878786.910	260408.190

868761.660	322051.830

869829.810	262815.880

849886.010	311609.600

862307.600	250152.950

873938.820	271521.040

884195.350	287475.350

872444.010	315143.400

888977.120	258940.860

877585.920	275002.440

888495.630	253971.980

887984.320	317468.020

861646.990	296453.640

885612.720	259056.730

870264.350	236772.680

858078.510	308126.710

872963.070	282951.250

878809.160	306688.120

868759.010	314061.250

854014.090	258900.200

873277.140	252609.230

859665.900	287568.020

871147.680	324304.640

868091.440	257179.310

866935.620	277241.060

830820.570	285490.300

862278.140	243337.080

862046.520	276007.430

829745.960	294309.280

870983.610	265773.070

871164.620	257395.130

847266.690	280565.340

884815.530	257220.560

885815.230	295539.130

879749.190	330162.130

876189.970	251876.040

868228.320	240202.070

887588.100	320458.370

870963.310	249571.590

881200.150	253491.780

864941.860	276820.380

866763.830	272345.240

869819.640	297883.840

893125.580	290778.370

849721.630	271827.640

895078.070	293276.020

878409.600	322138.960

855490.170	316411.440

